id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,method,umpire1,umpire2,is_playoff,is_eliminator,is_qualifier,is_final,home_of
980945,Delhi,2016-04-27,Chris Morris,Arun Jaitley Stadium,0,Delhi Capitals,Gujarat Lions,Delhi Capitals,field,Gujarat Lions,runs,1.0,,Marais Erasmus,Sundaram Ravi,0,0,0,0,Delhi Capitals
980947,Mumbai,2016-04-28,Rohit Sharma,Wankhede Stadium,0,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,6.0,,Nitin Menon,Rod Tucker,0,0,0,0,Mumbai Indians
980949,Pune,2016-04-29,Dwayne Smith,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,3.0,,Chris Gaffaney,Bruce Oxenford,0,0,0,0,Rising Pune Supergiant
980951,Delhi,2016-04-30,Carlos Brathwaite,Arun Jaitley Stadium,0,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,runs,27.0,,K. N. Ananthapadmanabhan,Marais Erasmus,0,0,0,0,Delhi Capitals
980953,Hyderabad,2016-04-30,David Warner,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,15.0,,Anil Chaudhary,Kumar Dharmasena,0,0,0,0,Sunrisers Hyderabad
980955,Rajkot,2016-05-01,Axar Patel,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Kings XI Punjab,runs,23.0,,Bruce Oxenford,Virender Sharma,0,0,0,0,Gujarat Lions
980957,Pune,2016-05-01,Rohit Sharma,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8.0,,Anil Dandekar,Rod Tucker,0,0,0,0,Rising Pune Supergiant
980959,Bangalore,2016-05-02,Andre Russell,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,5.0,,Marais Erasmus,Sundaram Ravi,0,0,0,0,Royal Challengers Bangalore
980961,Rajkot,2016-05-03,Rishabh Pant,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,8.0,,Chris Gaffaney,Bruce Oxenford,0,0,0,0,Gujarat Lions
980963,Kolkata,2016-05-04,Andre Russell,Eden Gardens,0,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,runs,7.0,,Anil Chaudhary,Kumar Dharmasena,0,0,0,0,Kolkata Knight Riders
980965,Delhi,2016-05-05,Ajinkya Rahane,Arun Jaitley Stadium,0,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,7.0,,Chettithody Shamshuddin,Rod Tucker,0,0,0,0,Delhi Capitals
980967,Hyderabad,2016-05-06,Bhuvneshwar Kumar,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5.0,,Marais Erasmus,Sundaram Ravi,0,0,0,0,Sunrisers Hyderabad
980969,Bangalore,2016-05-07,Virat Kohli,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,7.0,,Chris Gaffaney,Bruce Oxenford,0,0,0,0,Royal Challengers Bangalore
980971,Chandigarh,2016-05-07,Marcus Stoinis,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Kings XI Punjab,runs,9.0,,Kumar Dharmasena,C. K. Nandan,0,0,0,0,Kings XI Punjab
980973,Visakhapatnam,2016-05-08,Ashish Nehra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,runs,85.0,,Sundaram Ravi,Chettithody Shamshuddin,0,0,0,0,Mumbai Indians
980975,Kolkata,2016-05-08,Praveen Kumar,Eden Gardens,0,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,5.0,,Marais Erasmus,Rod Tucker,0,0,0,0,Kolkata Knight Riders
980977,Chandigarh,2016-05-09,Shane Watson,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,field,Royal Challengers Bangalore,runs,1.0,,Anil Chaudhary,Kumar Dharmasena,0,0,0,0,Kings XI Punjab
980979,Visakhapatnam,2016-05-10,Adam Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,4.0,,Chris Gaffaney,Virender Sharma,0,0,0,0,Rising Pune Supergiant
980981,Bangalore,2016-05-11,Krunal Pandya,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,6.0,,Anil Dandekar,Chettithody Shamshuddin,0,0,0,0,Royal Challengers Bangalore
980983,Hyderabad,2016-05-12,Chris Morris,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7.0,,Krishnamachari Bharatan,Marais Erasmus,0,0,0,0,Sunrisers Hyderabad
980985,Visakhapatnam,2016-05-13,Marcus Stoinis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,wickets,7.0,,Kumar Dharmasena,C. K. Nandan,0,0,0,0,Mumbai Indians
980987,Bangalore,2016-05-14,AB de Villiers,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,runs,144.0,,Anil Dandekar,Virender Sharma,0,0,0,0,Royal Challengers Bangalore
980989,Kolkata,2016-05-14,Yusuf Pathan,Eden Gardens,0,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,bat,Kolkata Knight Riders,wickets,8.0,D/L,Nand Kishore,Bruce Oxenford,0,0,0,0,Kolkata Knight Riders
980991,Chandigarh,2016-05-15,Hashim Amla,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad,wickets,7.0,,K. N. Ananthapadmanabhan,Marais Erasmus,0,0,0,0,Kings XI Punjab
980993,Visakhapatnam,2016-05-15,Krunal Pandya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,80.0,,Nitin Menon,C. K. Nandan,0,0,0,0,Mumbai Indians
980995,Kolkata,2016-05-16,Virat Kohli,Eden Gardens,0,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,9.0,,Chris Gaffaney,Nand Kishore,0,0,0,0,Kolkata Knight Riders
980997,Visakhapatnam,2016-05-17,Ashoke Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,field,Rising Pune Supergiant,runs,19.0,D/L,Nitin Menon,Chettithody Shamshuddin,0,0,0,0,Rising Pune Supergiant
980999,Bangalore,2016-05-18,Virat Kohli,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,runs,82.0,D/L,K. N. Ananthapadmanabhan,Marais Erasmus,0,0,0,0,Royal Challengers Bangalore
981001,Kanpur,2016-05-19,Dwayne Smith,Green Park Stadium,0,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,field,Gujarat Lions,wickets,6.0,,Anil Chaudhary,C. K. Nandan,0,0,0,0,Gujarat Lions
981003,Raipur,2016-05-20,Karun Nair,Shaheed Veer Narayan Singh International Stadium,0,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,wickets,6.0,,Nand Kishore,Bruce Oxenford,0,0,0,0,Delhi Capitals
981005,Visakhapatnam,2016-05-21,Mahendra Singh Dhoni,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,bat,Rising Pune Supergiant,wickets,4.0,,Kumar Dharmasena,Nitin Menon,0,0,0,0,Rising Pune Supergiant
981007,Kanpur,2016-05-21,Suresh Raina,Green Park Stadium,0,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,Gujarat Lions,wickets,6.0,,Anil Chaudhary,C. K. Nandan,0,0,0,0,Gujarat Lions
981009,Kolkata,2016-05-22,Yusuf Pathan,Eden Gardens,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,22.0,,K. N. Ananthapadmanabhan,Marais Erasmus,0,0,0,0,Kolkata Knight Riders
981011,Raipur,2016-05-22,Virat Kohli,Shaheed Veer Narayan Singh International Stadium,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,6.0,,Nand Kishore,Bruce Oxenford,0,0,0,0,Delhi Capitals
981013,Bangalore,2016-05-24,AB de Villiers,M.Chinnaswamy Stadium,0,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,4.0,,Anil Chaudhary,Kumar Dharmasena,1,0,1,0,Royal Challengers Bangalore
981015,Delhi,2016-05-25,Moises Henriques,Arun Jaitley Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,runs,22.0,,Marais Erasmus,Chettithody Shamshuddin,1,1,0,0,
981017,Delhi,2016-05-27,David Warner,Arun Jaitley Stadium,1,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,4.0,,Marais Erasmus,C. K. Nandan,1,0,1,0,
981019,Bangalore,2016-05-29,Ben Cutting,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,8.0,,Kumar Dharmasena,Bruce Oxenford,1,0,0,1,Royal Challengers Bangalore
1082591,Hyderabad,2017-04-05,Yuvraj Singh,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,35.0,,Anil Dandekar,Nigel Llong,0,0,0,0,Sunrisers Hyderabad
1082592,Pune,2017-04-06,Steve Smith,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,7.0,,Nand Kishore,Sundaram Ravi,0,0,0,0,Rising Pune Supergiant
1082593,Rajkot,2017-04-07,Chris Lynn,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,10.0,,Nitin Menon,C. K. Nandan,0,0,0,0,Gujarat Lions
1082594,Indore,2017-04-08,Glenn Maxwell,Holkar Cricket Stadium,0,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,,Anil Chaudhary,Chettithody Shamshuddin,0,0,0,0,Kings XI Punjab
